source_id,source_name,organization,url,data_type,update_frequency,trust_tier,status,license_or_access_note
SRC_001,e-SAKSHI Portal,Ministry of Statistics and Programme Implementation (MoSPI),https://mplads.mospi.gov.in/,Aggregate Tiles & State Reference,Real-Time / Monthly,Tier 1 - Primary Official,VERIFIED_LIVE_2026_09_02,Only verified macro tiles member-total and state POST endpoints may be used; no granular public microdata contract was verified
SRC_002,MoSPI Policy & Guidelines,Ministry of Statistics and Programme Implementation (MoSPI),https://mospi.gov.in/,Regulatory PDF Guidelines,Ad-hoc / Policy Updates,Tier 1 - Primary Official,VERIFIED_WEB_2026_09_02,Public homepage reachable; identify and verify a specific current guideline document before automated download
SRC_003,Parliament of India Directory,Lok Sabha Secretariat,https://sansad.in/,Legislative Directory HTML/PDF,Per Election / Daily Session,Tier 1 - Primary Official,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable but the recorded JSON member endpoint returned HTTP 404; not integrated
SRC_004,Rajya Sabha Member Directory,Rajya Sabha Secretariat,https://rajyasabha.nic.in/,State Representation Directory,Biennial / Per Vacancy,Tier 1 - Primary Official,UNAVAILABLE_TIMEOUT_2026_09_02,Connection timed out during audit; not integrated
SRC_005,ECI Delimitation & Results,Election Commission of India (ECI),https://eci.gov.in/,Electoral Constituency Master,Per General Election,Tier 1 - Primary Official,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable; no dataset endpoint was verified
SRC_006,Local Government Directory (LGD),Ministry of Panchayati Raj,https://lgdirectory.gov.in/,Administrative Geo-Hierarchy CSV/API,Monthly,Tier 1 - Primary Official,VERIFIED_WEB_ONLY_2026_09_02,Public portal reachable but the recorded API hostname did not resolve; no API integrated
SRC_007,PFMS Fund Flow Architecture,Ministry of Finance (CGA),https://pfms.nic.in/,Treasury Disbursement Specs,Continuous,Tier 1 - Primary Official,VERIFIED_WEB_ONLY_2026_09_02,Public homepage reachable; no fund-flow ledger or API was verified
SRC_008,CAG Performance Audit Reports,Comptroller and Auditor General of India,https://cag.gov.in/,Statutory Audit Reports (PDF),Periodic Performance Audits,Tier 2 - Official Gov Document,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable but the recorded audit-reports path returned HTTP 404; not integrated
SRC_009,Parliamentary Committee Reports,Standing Committee on MPLADS (Sansad),https://sansad.in/,Committee Review Transcripts,Annual / Sessional,Tier 2 - Official Gov Document,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable; no committee-report endpoint was verified
SRC_010,Open Government Data (OGD),National Informatics Centre (NIC),https://data.gov.in/,Open Data CSVs,Stagnant for MPLADS,Tier 3 - Gov Open Data,REQUIRES_RESOURCE_ID_AND_API_KEY_2026_09_02,Homepage reachable; placeholder API request returned HTTP 403 and no MPLADS resource was approved
SRC_011,NITI Aayog Aspirational Districts,NITI Aayog,https://niti.gov.in/,Developmental KPI Indicators,Quarterly,Tier 3 - Gov Open Data,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable; no public machine-readable dataset endpoint was verified
SRC_012,GePNIC Public Procurement,National Informatics Centre (NIC),https://eprocure.gov.in/,e-Tendering Notices & AOC,Daily,Tier 3 - Gov Open Data,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable; no tender or award data endpoint was verified
SRC_013,PRS Legislative Research,PRS India (Research Foundation),https://prsindia.org/,Legislative Context Metrics,Per Session,Tier 4 - Reputable Reference,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable; no API contract was verified
SRC_014,DataMeet Open Spatial Repository,DataMeet Community,http://datameet.org/,GeoJSON Boundary Maps,Ad-hoc / Delimitation,Tier 4 - Reputable Reference,VERIFIED_WEB_ONLY_2026_09_02,Homepage reachable; no boundary artifact was selected or integrated
SRC_015,EmpoweredIndian Open MPLADS Intelligence Mirror,EmpoweredIndian Civic Technology Platform,https://api.empoweredindian.in/,Open MPLADS Telemetry & Aggregates (JSON API),Daily,Tier 3 - Verified Civic Open Data,VERIFIED_LIVE_2026_09_03,"Verified open API mirror of official MoSPI e-SAKSHI data providing live MP dossiers, work categories, sync metadata, and macroeconomic totals."
